name,lat,lon
DDA Apartments Pocket 10 B,28.545362,77.291345
Shiksha Niketan Apartment,28.662578,77.38058
SPS Heights,28.645793,77.382985
Highway Apartments,28.628907,77.317984
Goverdhan Tower,28.642691,77.321338
Neelpadam Apartment 2,28.646373,77.336501
Panchsheel Greens,28.610875,77.444908
BPCL Housing Complex,28.599575,77.343277
Surya Nagar,28.667832,77.324914
Prateek Fedora,28.597726,77.370105
7/12 Lajpat Nagar IV,28.563424,77.240811
Mayur Vihar Phase 1 Pocket 2,28.608301,77.301658
Mecon Ltd.,28.630663,77.284974
Mayur Vihar Pocket IV,28.603011,77.293276
Amrapali Silicon City Sector 76 Noida,28.567646,77.380185
Mayur Vihar Pocket E,28.617029,77.295337
Gaur Heights,28.646613,77.339712
Sri Krishna Apartments,28.641277,77.383572
Noida Sector 62,28.694754,77.254539
Sri Sri Residency,28.643621,77.325114
SPS Residency,28.637439,77.366533
"sector 25, jalvayu Vihar, Noida, UP",28.582401,77.339484
6 Aurangzeb road,28.602612,77.220095
Taj Enclave,28.650063,77.270292
Gateway Tower,28.646101,77.337056
Amrapali Village Flats,28.634301,77.357801
Shekhar Apartment,28.595373,77.2985
"Sector 6, Noida",28.583393,77.321125
Una Enclave,28.610589,77.288374
"J91, Kalkaji",28.535538,77.259323
Supertech Rameshwaram,28.645107,77.328773
Bharti Nagar,28.60078,77.230737
Ajnara Gulshan Homes 121,28.598149,77.401433
Pocket A1 Mayur Vihar Phase 3,28.609852,77.336134
Marble Arch,28.597776,77.219191
"357, Gautam Nagar",28.560176,77.211329
"Pocket A2, Mayur Vihar Ph3(sam)",28.612054,77.339302
Supertech Pavilion,28.582224,77.365165
Amity Hostel Sector 44,28.554655,77.330631
Prateek Wisteria,28.570322,77.389766
Sector 71,28.597681,77.373998
"Alok Vihar, Sector 50, Noida",28.575858,77.369773
West Vinod Nagar,28.626509,77.300171
Gaur Green Avenue,28.634398,77.341678
Aditya Mega City,28.63726,77.361877
Sanskriti Avas,28.609682,77.356869
Shreem Apartment,28.62768,77.30803
Pan Oasis,28.593703,77.381803
Golf Links Society,28.562612,77.350171
Seelampur,28.671293,77.267385
Sector 8 Jasola Vihar,28.543977,77.296294
Arya Nagar Apartment,28.627801,77.311009
Nizamuddin East Block C,28.589259,77.25186
National park,28.561165,77.241339
Shahapur Jat,28.550498,77.213817
"C-67, Lajpat Nagar II",28.571787,77.238333
"47 Block, East Patel Nagar",28.647311,77.177659
ATS One Hamlet,28.536217,77.372818
"Pandav Nagar, Mayur Vihar I",28.609229,77.291149
Mahagun Mansion,28.634879,77.361921
Shipra Neo,28.638643,77.375707
Gaur Green Vista,28.63432,77.35496
Mahagun Mosaic Apartments,28.649621,77.342472
Jangpura B,28.583537,77.251947
"Parsvnath, Sector 61",28.59551,77.370107
"Pocket A-3, Mayur Vihar Phase 3",28.614908,77.337476
Hargovind Enclave,28.649477,77.300177
"Sector-5, Rajinder Nagar",28.67791,77.34758
Arun Vihar,28.565325,77.342843
Rabindra Nagar,28.599258,77.223308
"ATS Greens, Sector 50, Noida",28.574064,77.365609
Lotus Boulevard,28.54425,77.370442
Nilgiri Apartment,28.526435,77.25165
Eldeco Aptts,28.642179,77.341967
Prashant Apartments,28.628478,77.306082
Parsvnath Majestic Floors,28.637349,77.368703
"Neethi Apts, IP Extn",28.632302,77.301552
Purvanchal Silver Estate,28.577391,77.373238
Agcr enclave,28.651353,77.297012
Prateek Stylome,28.547567,77.353826
