name,lat,lon
New Rajdhani Enclave,28.64192,77.29594
Shri Krishna Building,28.63145,77.29378
Laxmi Deep Building,28.63768,77.28574
Kanchanjunga Apartments,28.6379,77.3008
New Rajdhani Enclave-Gate No 1,28.64135,77.29466
Chaudhary Complex,28.63575,77.28588
Dda Narwana Apartments,28.63594,77.29943
Park End Colony,28.64306,77.29687
Pharma Apartment,28.63395,77.30051
Mithala Transport,28.63789,77.28463
Vidhyut Apartment,28.63738,77.30086
Savitri Sadan,28.63996,77.29243
Chawala Timber,28.63767,77.28471
MK Sikka House,28.63453,77.28564
Anand Vihar,28.63794,77.30076
Bali House,28.63337,77.28485
Chabdravihar,28.63324,77.2961
Rajdhani Enclave,28.64139,77.2948
Nav Kranti Apartment,28.63569,77.29863
New Rajdhani Enclave,28.63385,77.29159
Swasthya Vihar Apartments,28.63982,77.2887
Shri Ram Shop,28.64293,77.29607
Rama Krishna Apartment,28.63466,77.29882
Swast House,28.64007,77.29315
Happy Home Tower,28.63131,77.29518
Maitry Apr Ents,28.63255,77.29867
Krishna Estates,28.64232,77.29598
Gupta Tower,28.63218,77.28611
Malbros Tower,28.63942,77.29267
Kamal Villa,28.63435,77.29007
Dda Flats Chitra Vihar,28.64322,77.28931
Swati Apartments,28.63574,77.30038
V3s East Centre,28.63681,77.2869
Top on Tower,28.63668,77.28744
Jain Apartment,28.64025,77.29396
Dda Building,28.6368,77.29063
Chandar Vihar Gali No. 7,28.63256,77.29868
Wegmans House,28.63485,77.28537
Rama Krishna Vihar Apartment,28.63592,77.29892
Dr. Shrivastav,28.6412,77.29115
Rwa Preet Vihar Block A,28.63408,77.28999
Bhogk Complex,28.63586,77.28577
Kholsa Khosla Apartment,28.64392,77.29225
Ram Kisan Apartment,28.64166,77.29578
Friends Apartment,28.63689,77.30111
New Rajdhani Enclave,28.64192,77.29547
Preet Vihar,28.6339,77.29022
Aldine Centre,28.64049,77.29113
Kuchhal Properties,28.6412,77.29115
Puja Apartment,28.6331,77.29998
Kharbanda Homes 2,28.63037,77.29758
Bhati Niwas,28.63297,77.2856
Aditya Arcade,28.63825,77.29492
Sushil Store,28.63823,77.28442
Deepti Store,28.64119,77.29115
Vikasdeep Buildingnirman,28.63853,77.28705
Vidhuat Apartments,28.63677,77.30064
Preet Vihar,28.63683,77.29937
Vidisha Apartment,28.63688,77.29933
Berry Health Care,28.64282,77.29332
G R Buildwell Site 4,28.63476,77.28476
Ruma Apartment,28.64025,77.29396
Pragati Deep Building,28.63789,77.28566
Taxico Travel Service,28.6412,77.29115
New Style Beauty Palace,28.64317,77.29622
Vikalp Apartment,28.63651,77.29968
Ansal Vikas Deep Building,28.63825,77.2876
Bharti Artist's Colony,28.63806,77.29039
Kanchanchanga Apartments,28.63737,77.30085
Shah STD Shop,28.64095,77.29105
Mayur Vihar,28.62958,77.29221
Sahyadri Apartment,28.63349,77.29978
Jain Sons,28.64128,77.29141
Aditya Tower,28.63868,77.28487
Maitri Apartments,28.63202,77.29862
Aashirwad Building,28.63633,77.28388
Chandar Vihar,28.63356,77.29843
Rama Krishna Apartment,28.63419,77.29852
Chitra Vihar-Gate No. 3,28.641,77.28615
Vikas Deep Building,28.63856,77.28702
Puja Apartment,28.63312,77.30028
Vishwakarma Park,28.63662,77.28626
Vahis Fast Food,28.64128,77.29141
Jeevan Pragathi Tower,28.638,77.28491
Shiv Shakti Properties,28.64289,77.29655
Goyal Shop,28.6412,77.29115
Preet Vihar,28.64175,77.29168
Madhuban Tower,28.63553,77.28591
Mithila Apartments,28.63311,77.29941
Mayfair Apartments,28.63504,77.29765
Himandri Apartment,28.63342,77.28543
Goverdhan Apartment,28.63756,77.28422
Nirman Vihar,28.63816,77.28556
Revanta Welfare Society,28.64011,77.29106
Meena Apartments,28.6335,77.30033
Roots Tower,28.63725,77.28576
Aashna Motors,28.64287,77.29613
Shankar Vihar Prachin Hanuman Mandir,28.63876,77.2878
Rwa Preet Vihar Block B,28.63563,77.29198
Madhuban Enclave,28.63163,77.28813
